V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	accession
1e-05	0.789227	1e-05	1e-05	0.059496	1e-05	0.036081	0.101902	1e-05	0.013243	CAMPUB_066
0.102442	0.621059	0.028329	0.028788	0.036506	1e-05	1e-05	0.066696	0.023636	0.092524	CAMPUB_072
1e-05	0.50832	1e-05	0.469363	1e-05	1e-05	0.022247	1e-05	1e-05	1e-05	CAMPUB_167
0.122206	0.484881	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.392843	CAMPUB_080
0.305353	0.694567	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_251
1e-05	0.500039	1e-05	0.499881	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_248
1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_264
1e-05	0.6784	1e-05	0.321514	1e-05	1.6e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_070
1e-05	0.719912	1e-05	0.280008	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_081
1e-05	0.939602	1e-05	0.060318	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_269
1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_061
1e-05	0.999908	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	CAMPUB_137
1e-05	0.696212	1e-05	1.1e-05	1e-05	1e-05	0.051553	1e-05	1e-05	0.252164	CAMPUB_153
1e-05	0.695442	1e-05	0.069674	0.009912	1e-05	0.115031	1e-05	1e-05	0.109892	CAMPUB_272
0.403068	0.289351	0.015079	1e-05	0.108339	0.069719	0.017046	0.041292	0.039767	0.016328	CAMPUB_259
0.383882	0.193966	0.037234	0.014534	0.061459	0.015876	0.178543	0.070143	0.006887	0.037476	CAMPUB_261
1e-05	0.192037	0.392856	0.159011	1e-05	1e-05	0.071163	1e-05	1e-05	0.184883	CAMPUB_200
1e-05	0.115781	0.142944	0.023975	1e-05	0.551909	1e-05	1e-05	0.128079	0.037271	CAMPUB_134
0.148278	0.010365	0.412446	0.045333	1e-05	0.383528	1e-05	1e-05	1e-05	1e-05	CAMPUB_165
0.122659	1e-05	0.368807	0.281101	1e-05	0.097182	1e-05	1e-05	0.1302	1e-05	CAMPUB_087
1e-05	1e-05	0.456033	0.543887	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_198
1e-05	1e-05	0.560431	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.439489	CAMPUB_089
1e-05	1e-05	0.521724	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.478196	CAMPUB_112
1e-05	0.42267	0.57725	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_092
1e-05	0.480165	0.519745	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_114
0.425176	0.0025	0.553332	1e-05	1e-05	1e-05	0.018932	1e-05	1e-05	1e-05	CAMPUB_199
1e-05	0.021699	0.596666	1e-05	1e-05	1e-05	1e-05	1e-05	0.356686	0.024889	CAMPUB_250
1e-05	1e-05	0.501491	0.498429	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_232
1e-05	1e-05	0.591436	0.408484	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_095
0.27825	0.06903	0.560317	1e-05	0.023444	1e-05	1e-05	1e-05	0.068908	1e-05	CAMPUB_088
1e-05	1e-05	0.555028	1e-05	1e-05	1e-05	1e-05	1e-05	0.444892	1e-05	CAMPUB_090
1e-05	0.325062	0.641462	1e-05	1e-05	1e-05	1e-05	0.033405	1e-05	1e-05	CAMPUB_119
0.038096	0.059087	0.735878	1e-05	1e-05	0.000743	0.166146	1e-05	1e-05	1e-05	CAMPUB_086
1e-05	1.4e-05	0.999906	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_231
1e-05	1e-05	0.712364	0.287556	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_235
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_028
1e-05	1e-05	0.999903	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_033
0.039185	1e-05	0.960733	1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_170
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_241
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_073
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_228
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_234
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_104
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_108
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_083
1e-05	1e-05	0.99991	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_239
1e-05	1e-05	0.399974	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.599946	CAMPUB_151
1e-05	1e-05	0.56153	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.43839	CAMPUB_230
1e-05	1e-05	0.377866	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.622054	CAMPUB_214
1e-05	1e-05	0.504643	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.495277	CAMPUB_247
0.151212	0.234606	0.328897	0.014376	0.011792	0.003163	1e-05	0.226792	0.029141	1e-05	CAMPUB_156
1.1e-05	0.077275	0.289667	0.007413	0.027228	1e-05	1e-05	0.050871	0.22989	0.317625	CAMPUB_158
1e-05	0.409419	0.170522	1e-05	0.020417	1e-05	0.101622	1e-05	0.297971	1e-05	CAMPUB_079
1e-05	0.339306	1e-05	1e-05	1e-05	1e-05	1.3e-05	1e-05	0.631967	0.028654	CAMPUB_255
0.26926	0.118285	1e-05	1e-05	0.152649	1.2e-05	1e-05	0.023879	0.435875	1e-05	CAMPUB_056
