V1	V2	V3	V4	V5	V6	V7	V8	accession
1.2e-05	1e-05	1e-05	0.999928	1e-05	1e-05	1e-05	1e-05	CAMPUB_116
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	CAMPUB_174
1e-05	1e-05	1e-05	0.999926	1e-05	1e-05	1.4e-05	1e-05	CAMPUB_243
1.7e-05	1e-05	1e-05	0.99992	1.1e-05	1.2e-05	1e-05	1e-05	CAMPUB_138
1.6e-05	1e-05	1e-05	0.999915	1.4e-05	1.5e-05	1e-05	1e-05	CAMPUB_145
1.8e-05	1e-05	1e-05	0.999918	1.2e-05	1e-05	1.1e-05	1e-05	CAMPUB_180
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	UNT_020_new
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	UNT_023_reseq
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	UNT_001_reseq
1e-05	1e-05	1e-05	0.99993	1e-05	1e-05	1e-05	1e-05	UNT_022_reseq
1e-05	0.111862	0.164453	0.497844	0.030137	1e-05	0.195674	1e-05	CAMPUB_085
1e-05	1e-05	0.48147	0.51847	1e-05	1e-05	1e-05	1e-05	CAMPUB_091
0.552669	1e-05	1e-05	1e-05	0.40778	1e-05	1e-05	0.039501	CAMPUB_098
0.565419	1e-05	1e-05	1e-05	1e-05	1e-05	0.434521	1e-05	CAMPUB_099
0.567292	1e-05	0.017	1e-05	0.198968	1e-05	0.216699	1e-05	CAMPUB_237
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.464867	0.535073	CAMPUB_192
1e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	0.482905	0.517032	CAMPUB_162
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.528345	0.471595	CAMPUB_195
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.509459	0.490481	CAMPUB_258
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.435113	0.564827	CAMPUB_246
1e-05	0.052959	1e-05	1e-05	0.134086	1e-05	1e-05	0.812905	CAMPUB_146
0.156011	0.115564	1e-05	0.066576	1e-05	1e-05	1e-05	0.661809	CAMPUB_201
